
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
82078,dog-walking,moderate,1,0,1,0,1,0,0,1,3,2881,0.2,25,"2017-05-10 22:17:55.546183"
82079,boarding,strict,1,0,1,0,1,1,1,1,1,2882,0.2,39,"2017-03-08 21:50:49.671124"
82080,boarding,strict,1,1,1,0,1,1,1,1,2,2883,0.2,29,"2017-02-04 15:10:21.413144"
82081,dog-walking,flexible,1,0,1,0,0,1,0,0,1,2883,0.2,20,"2017-02-04 15:10:21.413144"
82082,day-care,moderate,1,0,1,0,0,1,0,0,6,2883,0.2,23,"2017-02-04 15:10:21.413144"
82083,dog-walking,moderate,1,0,0,0,1,0,0,1,3,2884,0.2,22,"2017-05-05 09:37:44.669621"
82084,day-care,moderate,1,0,0,0,1,1,1,1,2,2884,0.2,27,"2017-05-05 09:37:44.669621"
82085,boarding,flexible,1,0,1,0,1,1,1,1,6,2885,0.2,32,"2017-02-18 21:54:06.675064"
82086,dog-walking,strict,0,1,1,1,0,1,1,1,4,2885,0.2,22,"2017-02-18 21:54:06.675064"
82087,dog-walking,moderate,1,1,1,0,1,0,1,0,3,2886,0.2,22,"2016-09-22 22:45:15.280081"
82088,day-care,flexible,1,0,1,0,1,1,1,0,5,2886,0.2,25,"2016-09-22 22:45:15.280081"
82089,boarding,strict,1,0,1,1,1,1,1,1,2,2887,0.2,42,"2017-02-27 14:54:10.501225"
82090,day-care,flexible,1,0,1,0,0,1,0,0,1,2887,0.2,26,"2017-02-27 14:54:10.501225"
82091,day-care,strict,1,0,1,1,1,1,0,1,2,2888,0.2,24,"2016-09-20 14:43:32.819144"
82092,boarding,moderate,1,0,1,1,1,1,1,1,2,2889,0.2,35,"2016-11-18 09:13:51.516193"
82093,day-care,strict,1,0,1,0,1,1,0,1,3,2889,0.2,31,"2016-11-18 09:13:51.516193"
82094,boarding,flexible,1,0,1,0,1,1,1,1,5,2890,0.2,34,"2016-09-18 10:40:09.157161"
82095,dog-walking,strict,1,1,1,1,1,1,1,1,2,2890,0.2,22,"2016-09-18 10:40:09.157161"
82096,boarding,flexible,1,0,0,1,1,1,1,1,1,2891,0.2,36,"2017-02-16 06:39:02.097532"
82097,day-care,strict,1,0,1,0,1,1,1,0,1,2891,0.2,27,"2017-02-16 06:39:02.097532"
82098,boarding,flexible,1,1,1,1,1,1,0,1,5,2892,0.2,38,"2016-10-10 22:58:15.671418"
82099,day-care,moderate,1,1,1,1,1,1,0,1,6,2892,0.2,28,"2016-10-10 22:58:15.671418"
82100,boarding,strict,1,0,0,1,1,1,1,0,3,2893,0.2,38,"2016-05-09 04:30:06.616388"
82101,dog-walking,strict,1,0,1,0,1,1,0,0,2,2893,0.2,21,"2016-05-09 04:30:06.616388"
82102,day-care,moderate,1,0,1,0,1,0,0,1,2,2894,0.2,26,"2016-11-24 14:39:55.226847"
82103,boarding,strict,1,0,0,0,1,0,0,1,2,2895,0.15,37,"2016-03-23 09:18:53.978371"
82104,dog-walking,strict,1,0,1,0,0,1,1,1,7,2895,0.15,20,"2016-03-23 09:18:53.978371"
82105,day-care,strict,1,0,1,0,1,1,0,1,3,2895,0.15,29,"2016-03-23 09:18:53.978371"
82106,boarding,flexible,1,0,1,1,1,1,1,1,4,2896,0.2,26,"2016-07-30 09:52:49.194509"
82107,boarding,moderate,1,0,1,0,1,1,1,1,5,2897,0.2,32,"2017-04-22 11:09:08.216345"
82108,dog-walking,flexible,1,1,1,0,1,1,1,1,5,2897,0.2,23,"2017-04-22 11:09:08.216345"
82109,day-care,strict,1,1,0,0,1,1,1,1,2,2897,0.2,29,"2017-04-22 11:09:08.216345"
82110,boarding,moderate,1,0,1,0,0,1,1,1,2,2898,0.2,39,"2016-05-25 02:24:39.013400"
82111,dog-walking,flexible,1,0,0,1,0,0,0,1,4,2898,0.2,21,"2016-05-25 02:24:39.013400"
82112,boarding,strict,1,0,1,0,1,1,0,1,3,2899,0.2,29,"2016-11-07 14:51:03.060549"
82113,day-care,moderate,1,0,1,0,1,0,0,0,7,2899,0.2,23,"2016-11-07 14:51:03.060549"
82114,boarding,strict,1,0,1,0,1,1,0,1,4,2900,0.2,31,"2017-02-18 11:47:47.858773"
82115,dog-walking,moderate,1,0,1,0,0,0,0,0,3,2900,0.2,25,"2017-02-18 11:47:47.858773"
82116,day-care,flexible,1,0,1,0,1,0,1,1,4,2900,0.2,23,"2017-02-18 11:47:47.858773"
82117,dog-walking,strict,1,0,1,0,1,0,0,1,3,2901,0.2,23,"2016-05-13 03:20:19.189715"
82118,day-care,moderate,1,0,0,0,1,1,0,1,7,2901,0.2,30,"2016-05-13 03:20:19.189715"
82119,boarding,strict,1,0,1,1,1,1,0,1,2,2902,0.2,42,"2016-05-26 02:57:31.792922"
82120,dog-walking,moderate,1,0,1,0,1,1,1,1,6,2902,0.2,22,"2016-05-26 02:57:31.792922"
82121,day-care,strict,1,0,1,1,1,1,1,1,1,2902,0.2,29,"2016-05-26 02:57:31.792922"
82122,day-care,flexible,1,0,1,0,1,1,0,1,3,2903,0.2,28,"2017-03-05 20:00:19.017484"
82123,boarding,strict,1,1,1,1,1,1,0,0,2,2904,0.2,34,"2017-04-19 20:59:29.304792"
82124,dog-walking,flexible,0,0,1,0,1,1,0,1,2,2904,0.2,19,"2017-04-19 20:59:29.304792"
82125,day-care,strict,0,1,1,0,1,1,0,1,4,2904,0.2,27,"2017-04-19 20:59:29.304792"
82126,boarding,moderate,1,0,1,0,1,1,0,0,2,2905,0.15,41,"2016-04-24 02:41:30.163975"
82127,dog-walking,strict,1,0,1,0,1,0,0,0,2,2905,0.15,26,"2016-04-24 02:41:30.163975"
82128,boarding,strict,0,0,1,1,1,1,0,1,3,2906,0.2,33,"2017-01-14 14:18:17.733314"
82129,day-care,strict,1,0,1,0,1,1,1,1,5,2906,0.2,22,"2017-01-14 14:18:17.733314"
82130,dog-walking,strict,1,0,0,1,1,1,1,0,1,2907,0.2,23,"2016-12-07 05:35:20.904099"
82131,day-care,strict,1,0,0,0,1,1,0,1,5,2908,0.2,30,"2016-06-05 12:33:51.851959"
82132,boarding,flexible,1,0,1,0,1,1,0,1,6,2909,0.15,41,"2016-04-25 10:12:11.654792"
82133,dog-walking,moderate,1,0,1,0,1,1,0,1,3,2909,0.15,18,"2016-04-25 10:12:11.654792"
82134,day-care,flexible,1,0,1,0,1,1,0,0,1,2909,0.15,27,"2016-04-25 10:12:11.654792"
82135,boarding,moderate,1,1,1,0,1,1,1,0,4,2910,0.2,35,"2017-02-05 17:54:46.256084"
82136,boarding,moderate,1,0,0,1,1,1,1,1,3,2911,0.2,28,"2017-01-20 16:24:11.874562"
82137,dog-walking,flexible,0,1,1,0,1,1,0,1,2,2912,0.15,22,"2016-01-09 23:11:03.934298"
82138,day-care,flexible,1,0,1,0,1,1,1,1,5,2912,0.15,21,"2016-01-09 23:11:03.934298"
82139,dog-walking,strict,1,1,0,1,1,1,0,1,1,2913,0.2,17,"2016-12-01 06:54:39.668650"
82140,day-care,moderate,1,0,0,1,0,0,1,1,5,2913,0.2,27,"2016-12-01 06:54:39.668650"
82141,dog-walking,flexible,1,0,1,0,1,1,1,1,2,2914,0.2,25,"2016-09-17 03:09:01.927788"
82142,boarding,moderate,1,1,0,0,1,1,0,1,3,2915,0.2,31,"2017-02-18 12:56:26.397018"
82143,dog-walking,strict,1,0,1,1,1,1,0,1,4,2915,0.2,21,"2017-02-18 12:56:26.397018"
82144,day-care,flexible,1,1,1,0,1,1,0,1,5,2915,0.2,29,"2017-02-18 12:56:26.397018"
82145,boarding,flexible,1,0,1,1,1,1,0,0,4,2916,0.2,33,"2016-12-28 07:40:37.644702"
82146,day-care,flexible,1,0,1,0,1,1,1,1,7,2916,0.2,25,"2016-12-28 07:40:37.644702"
82147,boarding,strict,1,0,1,0,1,1,0,1,5,2917,0.2,42,"2016-07-24 10:58:20.846119"
82148,day-care,moderate,1,0,1,0,1,1,1,0,4,2918,0.15,24,"2015-12-07 18:53:32.518592"
82149,dog-walking,flexible,1,0,1,0,1,1,0,0,3,2919,0.2,21,"2017-04-27 02:50:06.051306"
82150,day-care,strict,1,1,1,0,1,1,0,1,5,2919,0.2,22,"2017-04-27 02:50:06.051306"
82151,dog-walking,moderate,1,0,1,0,1,0,1,1,2,2920,0.2,21,"2016-08-11 02:39:21.739347"
82152,boarding,moderate,1,1,1,0,1,1,1,1,5,2921,0.2,35,"2017-04-03 10:45:31.346225"
82153,dog-walking,strict,1,1,1,0,0,1,1,1,4,2921,0.2,21,"2017-04-03 10:45:31.346225"
82154,boarding,flexible,1,0,1,0,1,1,1,1,4,2922,0.2,40,"2016-07-10 02:00:18.311655"
82155,day-care,strict,1,1,0,0,1,1,1,0,1,2922,0.2,30,"2016-07-10 02:00:18.311655"
82156,boarding,strict,1,1,1,1,1,0,0,1,3,2923,0.2,41,"2017-04-03 11:58:22.314697"
82157,day-care,moderate,1,0,1,0,1,1,1,0,3,2923,0.2,25,"2017-04-03 11:58:22.314697"
82158,dog-walking,strict,0,0,1,0,1,1,0,1,4,2924,0.2,26,"2016-05-29 23:05:22.077880"
82159,day-care,moderate,1,0,1,0,1,1,0,0,3,2925,0.2,22,"2017-02-21 03:33:26.854459"
82160,dog-walking,strict,1,0,1,0,1,1,0,1,1,2926,0.2,18,"2016-11-16 05:30:56.484120"
82161,day-care,flexible,1,0,1,0,1,1,0,1,2,2926,0.2,23,"2016-11-16 05:30:56.484120"
82162,boarding,strict,1,0,0,1,1,1,0,0,1,2927,0.2,32,"2016-08-28 03:13:12.505784"
82163,dog-walking,strict,1,0,1,1,1,1,0,1,3,2927,0.2,23,"2016-08-28 03:13:12.505784"
82164,day-care,flexible,1,0,0,0,1,1,1,0,5,2927,0.2,28,"2016-08-28 03:13:12.505784"
82165,day-care,moderate,1,0,1,0,0,1,1,1,2,2928,0.2,25,"2017-06-07 22:54:59.745775"
82166,boarding,strict,1,1,1,0,1,1,0,0,1,2929,0.2,32,"2017-01-04 00:57:46.611541"
82167,dog-walking,strict,0,0,1,0,1,1,1,0,2,2929,0.2,22,"2017-01-04 00:57:46.611541"
82168,day-care,flexible,0,1,1,0,1,1,1,1,3,2929,0.2,26,"2017-01-04 00:57:46.611541"
82169,boarding,flexible,1,0,0,0,1,1,1,0,3,2930,0.2,37,"2017-03-07 19:37:40.387872"
82170,day-care,strict,1,0,1,0,1,0,1,1,3,2930,0.2,32,"2017-03-07 19:37:40.387872"
82171,boarding,strict,1,0,0,0,1,1,1,1,3,2931,0.2,38,"2016-10-17 21:46:23.285644"
82172,day-care,flexible,1,0,1,0,1,1,0,1,2,2932,0.2,24,"2017-01-19 09:11:42.867867"
82173,boarding,moderate,1,0,1,0,1,1,0,0,1,2933,0.2,33,"2017-03-22 13:20:10.773255"
82174,dog-walking,moderate,0,0,1,0,1,1,1,0,3,2934,0.2,20,"2017-01-17 17:39:25.437101"
82175,day-care,moderate,1,0,1,0,1,1,0,1,5,2934,0.2,27,"2017-01-17 17:39:25.437101"
82176,boarding,flexible,1,0,1,1,1,1,1,1,2,2935,0.15,30,"2016-03-19 06:05:36.315844"
82177,dog-walking,moderate,1,1,1,1,1,1,0,1,5,2935,0.15,22,"2016-03-19 06:05:36.315844"
82178,day-care,moderate,1,0,1,1,1,1,0,1,4,2935,0.15,21,"2016-03-19 06:05:36.315844"
82179,day-care,flexible,1,0,1,0,0,1,0,1,4,2936,0.2,33,"2017-03-21 23:42:20.327741"
82180,boarding,flexible,1,0,1,1,1,1,1,1,3,2937,0.2,38,"2017-05-01 13:19:47.358189"
82181,dog-walking,moderate,1,0,1,0,1,0,0,1,1,2937,0.2,24,"2017-05-01 13:19:47.358189"
82182,day-care,flexible,1,0,1,0,1,1,1,1,2,2937,0.2,25,"2017-05-01 13:19:47.358189"
82183,dog-walking,flexible,1,0,1,0,1,1,1,0,4,2938,0.2,21,"2017-05-11 18:02:50.275315"
82184,boarding,flexible,1,1,1,0,0,1,0,1,7,2939,0.15,32,"2016-03-06 06:18:21.776160"
82185,dog-walking,moderate,1,0,0,0,1,1,1,1,7,2939,0.15,20,"2016-03-06 06:18:21.776160"
82186,boarding,flexible,1,0,1,0,1,1,1,0,2,2940,0.2,33,"2017-02-28 08:01:33.826459"
82187,dog-walking,flexible,1,0,1,0,1,1,0,1,1,2940,0.2,17,"2017-02-28 08:01:33.826459"
82188,day-care,strict,1,0,1,0,1,1,1,1,5,2940,0.2,29,"2017-02-28 08:01:33.826459"
82189,day-care,strict,1,0,1,0,0,1,1,0,3,2941,0.2,26,"2016-11-25 01:38:29.141794"
82190,boarding,moderate,1,0,1,1,1,1,0,1,4,2942,0.2,39,"2017-07-01 04:18:34.032015"
82191,day-care,moderate,1,0,1,0,1,1,0,1,6,2942,0.2,30,"2017-07-01 04:18:34.032015"
82192,day-care,moderate,1,0,0,1,1,1,0,1,2,2943,0.2,31,"2017-06-11 03:22:44.010787"
82193,boarding,moderate,1,0,0,0,1,1,0,1,3,2944,0.2,38,"2017-03-15 01:22:51.725188"
82194,dog-walking,moderate,0,0,1,1,1,1,0,1,5,2944,0.2,19,"2017-03-15 01:22:51.725188"
82195,day-care,strict,1,0,1,0,1,1,1,1,4,2944,0.2,28,"2017-03-15 01:22:51.725188"
82196,dog-walking,moderate,1,0,1,0,0,1,1,1,2,2945,0.2,19,"2016-09-03 10:13:40.823184"
82197,day-care,strict,1,0,1,0,0,1,0,1,4,2945,0.2,25,"2016-09-03 10:13:40.823184"
82198,boarding,strict,1,0,1,0,0,1,1,0,2,2946,0.15,40,"2015-08-31 15:53:19.328986"
82199,boarding,flexible,0,0,1,1,1,1,0,1,1,2947,0.2,36,"2017-05-03 10:23:15.436703"
82200,day-care,flexible,1,0,1,1,1,1,0,1,5,2947,0.2,27,"2017-05-03 10:23:15.436703"
82201,dog-walking,moderate,1,1,1,1,1,1,1,1,1,2948,0.2,22,"2016-10-30 22:33:00.557398"
82202,dog-walking,strict,1,0,1,1,1,1,1,1,3,2949,0.2,20,"2017-05-03 14:43:22.890660"
82203,boarding,flexible,1,0,1,0,1,1,1,0,2,2950,0.15,36,"2016-03-17 02:12:28.949946"
82204,dog-walking,strict,1,0,1,0,0,0,0,1,2,2950,0.15,21,"2016-03-17 02:12:28.949946"
82205,boarding,moderate,0,0,1,0,1,0,0,1,7,2951,0.2,31,"2017-06-10 06:33:01.412470"
82206,boarding,moderate,1,0,1,0,1,1,0,1,2,2952,0.2,34,"2016-12-06 09:00:37.037185"
82207,day-care,strict,1,1,1,0,1,1,0,1,7,2952,0.2,26,"2016-12-06 09:00:37.037185"
82208,dog-walking,moderate,1,0,1,1,1,1,1,1,1,2953,0.2,21,"2016-12-23 09:29:21.846647"
82209,boarding,moderate,1,0,1,1,1,0,1,1,3,2954,0.2,35,"2016-12-17 22:11:51.974257"
82210,dog-walking,strict,1,0,1,1,0,1,1,1,3,2954,0.2,22,"2016-12-17 22:11:51.974257"
82211,boarding,flexible,1,0,1,1,1,1,1,1,5,2955,0.15,33,"2016-01-17 05:35:12.130383"
82212,boarding,strict,1,0,1,0,1,1,0,1,3,2956,0.2,34,"2017-06-07 19:33:20.038334"
82213,dog-walking,moderate,1,0,1,1,0,0,1,1,2,2957,0.2,19,"2017-03-02 06:09:54.569699"
82214,dog-walking,flexible,1,0,1,0,1,1,1,1,6,2958,0.2,25,"2017-07-01 22:31:48.831253"
82215,day-care,strict,1,0,1,1,1,1,1,1,6,2958,0.2,28,"2017-07-01 22:31:48.831253"
82216,boarding,strict,0,0,1,0,1,1,0,1,5,2959,0.2,37,"2016-08-24 18:54:45.941651"
82217,day-care,strict,1,1,1,0,1,1,1,0,4,2959,0.2,27,"2016-08-24 18:54:45.941651"
82218,boarding,flexible,1,0,1,0,1,1,0,0,4,2960,0.2,33,"2017-03-20 10:59:08.135214"
82219,day-care,moderate,1,0,1,0,1,1,0,0,4,2960,0.2,26,"2017-03-20 10:59:08.135214"
82220,boarding,strict,1,0,1,1,1,1,1,1,6,2961,0.2,36,"2017-04-02 11:08:40.791323"
82221,dog-walking,flexible,1,0,1,1,1,1,0,1,6,2961,0.2,26,"2017-04-02 11:08:40.791323"
82222,day-care,flexible,1,0,1,0,1,1,0,1,2,2961,0.2,29,"2017-04-02 11:08:40.791323"
82223,boarding,moderate,1,0,1,0,1,1,1,1,4,2962,0.2,37,"2016-08-23 06:33:57.086371"
82224,dog-walking,moderate,1,0,0,0,1,1,0,1,4,2962,0.2,20,"2016-08-23 06:33:57.086371"
82225,boarding,moderate,1,0,1,1,1,1,0,0,1,2963,0.2,29,"2016-09-19 04:02:18.076626"
82226,day-care,strict,1,0,1,1,1,1,0,1,5,2963,0.2,28,"2016-09-19 04:02:18.076626"
82227,day-care,moderate,1,0,1,1,1,0,1,1,7,2964,0.2,27,"2017-01-07 01:26:33.006674"
82228,boarding,moderate,1,0,1,0,1,0,1,1,2,2965,0.2,38,"2016-10-21 19:47:01.974821"
82229,dog-walking,strict,1,0,1,0,0,1,0,1,4,2965,0.2,21,"2016-10-21 19:47:01.974821"
82230,boarding,moderate,1,0,1,1,1,1,0,0,2,2966,0.2,35,"2017-01-15 13:17:18.864745"
82231,dog-walking,strict,1,0,1,0,0,0,1,1,3,2966,0.2,24,"2017-01-15 13:17:18.864745"
82232,day-care,flexible,0,0,1,0,1,1,1,0,3,2966,0.2,31,"2017-01-15 13:17:18.864745"
82233,boarding,moderate,1,1,1,1,1,1,0,1,3,2967,0.2,38,"2016-08-03 19:18:29.407060"
82234,dog-walking,flexible,1,1,1,0,1,1,1,0,4,2967,0.2,26,"2016-08-03 19:18:29.407060"
82235,dog-walking,flexible,1,1,1,0,1,1,0,0,5,2968,0.2,21,"2017-03-17 21:15:02.532392"
82236,day-care,strict,1,0,1,0,1,0,1,1,4,2969,0.2,24,"2016-11-22 11:49:46.928762"
82237,boarding,strict,1,0,1,0,0,1,1,1,3,2970,0.2,28,"2017-06-23 14:15:55.389431"
82238,dog-walking,strict,1,0,1,0,1,1,1,1,2,2970,0.2,19,"2017-06-23 14:15:55.389431"
82239,day-care,strict,1,0,0,0,1,1,0,1,6,2970,0.2,28,"2017-06-23 14:15:55.389431"
82240,boarding,strict,1,0,1,0,1,1,1,1,5,2971,0.2,40,"2017-05-13 02:35:54.300363"
82241,dog-walking,strict,1,0,1,0,1,1,1,1,4,2971,0.2,20,"2017-05-13 02:35:54.300363"
82242,day-care,strict,1,0,0,0,1,1,1,1,2,2971,0.2,25,"2017-05-13 02:35:54.300363"
82243,dog-walking,moderate,1,0,1,0,1,1,1,0,5,2972,0.2,20,"2016-09-19 08:19:04.115645"
82244,day-care,flexible,1,1,1,0,0,1,1,1,3,2972,0.2,31,"2016-09-19 08:19:04.115645"
82245,boarding,strict,1,1,1,0,0,0,1,0,4,2973,0.2,34,"2017-05-21 11:31:22.903147"
82246,day-care,flexible,1,0,1,1,1,1,0,1,3,2973,0.2,28,"2017-05-21 11:31:22.903147"
82247,boarding,moderate,1,0,1,0,1,1,1,1,7,2974,0.2,30,"2017-04-10 05:13:12.954571"
82248,boarding,strict,1,0,0,1,1,1,1,0,1,2975,0.2,35,"2017-05-12 08:46:22.831615"
82249,dog-walking,moderate,1,0,1,0,1,0,1,1,4,2975,0.2,23,"2017-05-12 08:46:22.831615"
82250,day-care,flexible,1,0,1,0,1,0,1,0,3,2975,0.2,27,"2017-05-12 08:46:22.831615"
82251,boarding,strict,1,1,1,1,1,1,1,1,2,2976,0.2,34,"2017-06-18 09:01:04.263037"
82252,day-care,moderate,1,1,1,1,1,1,1,1,4,2977,0.15,27,"2016-01-27 09:59:45.765360"
82253,boarding,strict,1,1,1,1,1,0,1,1,3,2978,0.2,33,"2016-08-30 05:02:56.107124"
82254,dog-walking,moderate,1,0,1,0,1,1,0,1,2,2978,0.2,26,"2016-08-30 05:02:56.107124"
82255,day-care,moderate,1,1,1,0,1,1,1,1,2,2978,0.2,32,"2016-08-30 05:02:56.107124"
82256,boarding,strict,1,0,1,1,1,1,0,1,2,2979,0.2,28,"2016-10-07 19:23:29.555777"
82257,dog-walking,strict,1,0,1,1,1,1,1,1,4,2979,0.2,17,"2016-10-07 19:23:29.555777"
82258,day-care,flexible,1,0,1,0,1,1,1,1,2,2979,0.2,33,"2016-10-07 19:23:29.555777"
82259,boarding,flexible,0,0,1,0,1,1,0,1,1,2980,0.2,27,"2016-12-15 19:09:32.867287"
82260,dog-walking,strict,1,0,1,0,1,1,0,1,4,2980,0.2,23,"2016-12-15 19:09:32.867287"
82261,day-care,moderate,1,1,0,0,1,1,1,1,3,2980,0.2,28,"2016-12-15 19:09:32.867287"
82262,boarding,strict,1,0,1,0,1,1,0,0,3,2981,0.2,39,"2017-02-23 10:26:44.362655"
82263,dog-walking,strict,1,0,1,0,1,1,0,0,3,2981,0.2,20,"2017-02-23 10:26:44.362655"
82264,day-care,flexible,1,0,1,0,0,1,0,1,2,2981,0.2,27,"2017-02-23 10:26:44.362655"
82265,day-care,strict,1,0,1,0,1,0,0,1,5,2982,0.2,24,"2016-05-18 04:59:37.140657"
82266,boarding,strict,1,0,0,0,1,1,1,1,2,2983,0.2,34,"2016-10-16 17:30:57.838947"
82267,dog-walking,flexible,1,0,1,1,1,1,0,1,3,2983,0.2,18,"2016-10-16 17:30:57.838947"
82268,dog-walking,moderate,1,0,1,0,1,1,1,1,5,2984,0.2,22,"2016-07-17 08:06:21.301458"
82269,day-care,strict,1,0,1,0,1,1,0,0,3,2984,0.2,29,"2016-07-17 08:06:21.301458"
82270,boarding,moderate,1,0,1,1,1,0,1,0,1,2985,0.15,32,"2016-02-05 09:10:16.397637"
82271,dog-walking,flexible,1,0,1,0,1,1,0,1,8,2985,0.15,19,"2016-02-05 09:10:16.397637"
82272,dog-walking,moderate,1,1,1,0,1,0,1,1,3,2986,0.2,19,"2016-12-09 23:29:03.491699"
82273,boarding,flexible,0,1,1,0,0,1,1,1,3,2987,0.2,40,"2017-07-09 14:28:40.914553"
82274,dog-walking,strict,1,0,1,0,1,1,0,1,2,2987,0.2,22,"2017-07-09 14:28:40.914553"
82275,day-care,flexible,1,1,1,1,1,0,0,1,6,2987,0.2,22,"2017-07-09 14:28:40.914553"
82276,boarding,flexible,1,1,1,0,1,0,1,1,8,2988,0.2,33,"2016-06-02 03:31:45.000412"
82277,dog-walking,flexible,1,0,1,1,1,0,0,1,2,2988,0.2,26,"2016-06-02 03:31:45.000412"
82278,boarding,strict,1,0,1,1,1,1,1,0,2,2989,0.2,30,"2017-05-16 09:17:23.390216"
82279,dog-walking,moderate,1,0,1,1,1,1,0,0,7,2989,0.2,16,"2017-05-16 09:17:23.390216"
82280,day-care,moderate,0,0,1,1,1,1,1,1,5,2989,0.2,25,"2017-05-16 09:17:23.390216"
82281,boarding,strict,1,0,1,1,0,0,1,1,6,2990,0.2,36,"2017-02-09 04:06:50.368594"
82282,dog-walking,flexible,1,1,1,0,1,0,1,1,4,2990,0.2,23,"2017-02-09 04:06:50.368594"
82283,boarding,moderate,1,0,0,0,1,0,0,0,2,2991,0.2,40,"2017-05-20 01:11:52.939256"
82284,dog-walking,flexible,1,1,0,0,1,1,1,1,2,2991,0.2,20,"2017-05-20 01:11:52.939256"
82285,day-care,moderate,1,1,1,0,1,1,0,1,2,2991,0.2,26,"2017-05-20 01:11:52.939256"
82286,boarding,strict,1,0,1,1,1,0,1,0,4,2992,0.2,33,"2017-01-26 10:58:47.720138"
82287,dog-walking,strict,1,0,1,0,1,1,0,1,4,2992,0.2,16,"2017-01-26 10:58:47.720138"
82288,boarding,moderate,1,1,1,0,1,0,0,0,4,2993,0.2,36,"2017-01-03 23:03:51.143964"
82289,dog-walking,strict,1,0,1,0,1,0,0,1,3,2993,0.2,21,"2017-01-03 23:03:51.143964"
82290,day-care,strict,1,1,1,1,1,0,0,0,5,2993,0.2,24,"2017-01-03 23:03:51.143964"
82291,dog-walking,flexible,1,0,1,0,1,1,1,1,5,2994,0.2,28,"2016-09-09 04:38:56.514957"
82292,boarding,moderate,1,0,1,0,1,1,1,1,2,2995,0.15,41,"2016-02-27 04:13:47.949630"
82293,day-care,flexible,1,0,0,1,1,1,1,1,6,2995,0.15,28,"2016-02-27 04:13:47.949630"
82294,dog-walking,moderate,1,0,1,1,1,0,0,0,3,2996,0.2,19,"2017-05-25 09:36:24.588927"
82295,day-care,moderate,1,0,1,1,1,1,1,1,6,2997,0.15,30,"2016-02-07 08:41:22.723600"
82296,boarding,moderate,1,1,0,0,1,1,1,1,4,2998,0.2,29,"2016-12-01 14:51:05.202390"
82297,dog-walking,strict,1,0,1,1,1,1,1,1,2,2998,0.2,25,"2016-12-01 14:51:05.202390"
82298,day-care,moderate,1,0,1,0,1,1,0,0,5,2998,0.2,29,"2016-12-01 14:51:05.202390"
82299,dog-walking,flexible,1,1,1,0,1,0,1,1,6,2999,0.15,25,"2016-03-29 19:42:35.063011"
82300,day-care,strict,0,1,1,0,1,1,1,1,3,2999,0.15,29,"2016-03-29 19:42:35.063011"
82301,boarding,moderate,1,0,1,0,1,0,0,0,2,3000,0.2,36,"2016-10-11 15:37:03.273192"
82302,dog-walking,moderate,1,0,1,0,1,1,1,1,3,3000,0.2,24,"2016-10-11 15:37:03.273192"
82303,boarding,strict,1,0,1,0,1,1,1,1,1,3001,0.2,32,"2017-02-10 00:26:10.983146"
82304,dog-walking,strict,1,0,1,0,1,1,1,1,2,3001,0.2,19,"2017-02-10 00:26:10.983146"
82305,dog-walking,flexible,1,0,1,0,1,0,0,1,5,3002,0.15,22,"2016-04-22 09:44:03.217221"
82306,boarding,strict,1,0,1,0,1,1,0,1,2,3003,0.2,41,"2017-02-21 06:29:57.995554"
82307,boarding,strict,0,1,1,1,1,1,0,1,6,3004,0.2,39,"2017-03-05 12:38:47.149967"
82308,dog-walking,flexible,1,0,1,1,0,1,0,1,5,3004,0.2,22,"2017-03-05 12:38:47.149967"
82309,day-care,strict,1,0,0,1,1,1,1,1,4,3004,0.2,28,"2017-03-05 12:38:47.149967"
82310,boarding,flexible,1,0,1,0,1,1,0,0,4,3005,0.2,38,"2016-12-12 03:55:51.486147"
82311,dog-walking,moderate,1,0,1,0,1,0,1,1,6,3005,0.2,24,"2016-12-12 03:55:51.486147"
82312,day-care,strict,0,1,1,0,1,1,0,1,2,3005,0.2,25,"2016-12-12 03:55:51.486147"
82313,boarding,moderate,1,0,1,0,1,1,0,1,2,3006,0.2,35,"2017-04-16 10:45:21.790349"
82314,day-care,flexible,0,0,1,0,1,1,0,0,4,3006,0.2,26,"2017-04-16 10:45:21.790349"
82315,boarding,strict,1,0,1,0,0,1,0,0,6,3007,0.2,41,"2017-06-04 10:01:44.930004"
82316,dog-walking,strict,1,0,1,1,1,1,1,0,4,3008,0.2,19,"2016-10-25 14:47:21.147044"
82317,day-care,moderate,0,0,1,0,0,1,1,1,4,3009,0.15,29,"2016-04-06 21:19:16.659531"
82318,day-care,flexible,1,0,1,1,1,1,1,0,5,3010,0.2,28,"2016-09-11 08:18:05.474594"
82319,boarding,flexible,1,0,1,0,0,1,0,1,1,3011,0.2,35,"2016-07-27 17:12:39.845261"
82320,boarding,moderate,1,0,1,0,1,0,0,1,2,3012,0.2,39,"2017-06-19 08:00:55.399236"
82321,day-care,strict,1,0,1,0,1,1,1,1,1,3012,0.2,26,"2017-06-19 08:00:55.399236"
82322,day-care,strict,1,0,1,0,1,1,0,1,2,3013,0.15,24,"2016-03-25 00:33:20.265770"
82323,boarding,flexible,1,0,1,0,1,1,1,0,4,3014,0.2,39,"2017-06-20 14:40:50.020348"
82324,day-care,strict,0,0,1,0,1,1,1,0,1,3014,0.2,25,"2017-06-20 14:40:50.020348"
